N/A	 Fortnite: Battle	 Build	 Survive!	2018	 Documentary	 N/A)
5.6	 The Wrecking Crew	1968	 Action	 Adventure	 Comedy	 5.6)
5.5	 Stolen	2012	 Action	 Crime	 Thriller	 5.5)
5.5	 "Whats the Worst That Could Happen?"	2001	 Comedy	 Crime	 5.5)	
5.5	 The Seat Filler	2004	 Comedy	 Romance	 5.5)	
5.5	 American Ninja	1985	 Action	 Adventure	 Romance	 5.5)
5.5	 Act of Vengeance	1974	 Crime	 Drama	 Horror	 5.5)
5.5	 Return of the Seven	1966	 Action	 Western	 5.5)	
5.5	 Marry Me for Christmas	2013	 Comedy	 Romance	 5.5)	
5.4	 Sleepover	2004	 Comedy	 Family	 Romance	 5.4)
5.4	 Forces of Nature	1999	 Comedy	 Romance	 5.4)	
5.4	 Big Brother	 2000–	 Game-Show	 Reality-TV	 5.4)	
5.4	 The Legend of Longwood	2014	 Adventure	 Drama	 Family	 5.4)
5.4	 "A Warriors Heart"	2011	 Action	 Drama	 Family	 5.4)
5.4	 The Ticket	2016	 Drama	 5.4)		
5.3	 Picture This	2008	 Comedy	 Drama	 Romance	 5.3)
5.3	 Nine Lives	2016	 Comedy	 Drama	 Family	 5.3)
5.3	 Are You Here	2013	 Comedy	 Drama	 5.3)	
5.3	 Pootie Tang	2001	 Action	 Adventure	 Comedy	 5.3)
5.3	 Max Payne	2008	 Action	 Crime	 Drama	 5.3)
5.3	 The Cokeville Miracle	2015	 Drama	 Family	 History	 5.3)
5.3	 The New Daughter	2009	 Horror	 Thriller	 5.3)	
5.3	 Trespass	2011	 Crime	 Drama	 Thriller	 5.3)
5.2	 Vamps	2012	 Comedy	 Horror	 Romance	 5.2)
5.2	 The Lazarus Effect	2015	 Horror	 Mystery	 Sci-Fi	 5.2)
5.1	 The Dukes of Hazzard	2005	 Comedy	 5.1)		
5.1	 The Three Stooges	2012	 Comedy	 Family	 5.1)	
5.1	 Agent Cody Banks	2003	 Action	 Adventure	 Comedy	 5.1)
5.1	 Direct Action	2004	 Action	 Crime	 Thriller	 5.1)
5.1	 "Sleepers Wake"	2012	 Thriller	 5.1)		
5	 Down to You	2000	 Comedy	 Drama	 Romance	 5.0)
5	 So Undercover	2012	 Action	 Comedy	 Crime	 5.0)
5	 Dino King 3D: Journey to Fire Mountain	2019	 Animation	 Action	 Adventure	 5.0)
4.9	 Vanishing on 7th Street	2010	 Horror	 Mystery	 Thriller	 4.9)
4.9	 The Prince and Me 2	2006	 Drama	 4.9)		
4.9	 Epoch	2001	 Sci-Fi	 Thriller	 4.9)	
4.9	 Abigail	2019	 Adventure	 Fantasy	 4.9)	
4.9	 Kung Fu Killer	2008	 Action	 4.9)		
4.8	 Hope Springs Eternal	2018	 Comedy	 Drama	 4.8)	
4.8	 Monkeybone	2001	 Animation	 Comedy	 Fantasy	 4.8)
4.7	 The Marine	2006	 Action	 Comedy	 Drama	 4.7)
